Movie, Date, Length 
Private Theatre Rental,Released Nov 6  2020,
The Croods: A New Age,Released Nov 25  2020,1 hr 35 min
Half Brothers,Opening Dec 4  2020,1 hr 36 min
All My Life,Opening Dec 4  2020,1 hr 32 min
Die Hard,Opening Dec 4  2020,2 hr 12 min
The War With Grandpa,Released Oct 9  2020,1 hr 34 min
Freaky,Released Nov 13  2020,1 hr 42 min
Let Him Go,Released Nov 6  2020,1 hr 54 min
Elf,Released Nov 20  2020,1 hr 40 min
Honest Thief,Released Oct 16  2020,1 hr 40 min
Tenet,Released Sep 3  2020,2 hr 30 min
Gremlins,Released Nov 20  2020,1 hr 46 min
Frozen,Released Nov 25  2020,1 hr 48 min
The Godfather  Coda,Opening Dec 4  2020,2 hr 38 min
Vanguard,Released Nov 20  2020,1 hr 48 min
Come Play,Released Oct 30  2020,1 hr 36 min
The Last Vermeer,Released Nov 20  2020,
True To The Game 2,Released Nov 6  2020,1 hr 29 min
A Christmas Story,Released Nov 20  2020,1 hr 34 min
Elvis: That's The Way It Is: Special Edition,Released Dec 3  2020,1 hr 35 min
The Holiday,Released Nov 25  2020,2 hr 16 min
Knives Out,Released Nov 25  2020,2 hr 10 min
The Santa Clause,Released Nov 20  2020,1 hr 37 min
